Time	<x>	<p>	<xsq>	<psq>
96.0038	0	0	0	0
97.0039	0	0	0	0
98.0039	0	0	0	0
99.004	0	0	0	0
100.004	0	0	0	0
101.004	0	0	0	0
102.004	0	0	0	0
103.004	0	0	0	0
104.004	0	0	0	0
105.004	0	0	0	0
106.004	0	0	0	0
107.004	0	0	0	0
108.004	0	0	0	0
109.004	0	0	0	0
110.004	0	0	0	0
111.004	0	0	0	0
112.004	0	0	0	0
113.005	0	0	0	0
114.005	0	0	0	0
115.005	0	0	0	0
116.005	0	0	0	0
117.005	0	0	0	0
118.005	0	0	0	0
119.005	0	0	0	0
120.005	0	0	0	0
121.005	0	0	0	0
122.005	0	0	0	0
123.005	0	0	0	0
124.005	0	0	0	0
125.005	0	0	0	0
126.005	0	0	0	0
127.005	0	0	0	0
128.005	0	0	0	0
129.005	0	0	0	0
130.005	0	0	0	0
131.005	0	0	0	0
132.005	0	0	0	0
133.005	0	0	0	0
134.005	0	0	0	0
135.005	0	0	0	0
136.005	0	0	0	0
137.005	0	0	0	0
138.006	0	0	0	0
139.006	0	0	0	0
140.006	0	0	0	0
141.006	0	0	0	0
142.006	0	0	0	0
143.006	0	0	0	0
144.006	0	0	0	0
145.006	0	0	0	0
146.006	0	0	0	0
147.006	0	0	0	0
148.006	0	0	0	0
149.006	0	0	0	0
150.006	0	0	0	0
151.006	0	0	0	0
152.006	0	0	0	0
153.006	0	0	0	0
154.006	0	0	0	0
155.006	0	0	0	0
156.006	0	0	0	0
157.006	0	0	0	0
158.006	0	0	0	0
159.006	0	0	0	0
160.006	0	0	0	0
161.006	0	0	0	0
162.006	0	0	0	0
163.007	0	0	0	0
164.007	0	0	0	0
165.007	0	0	0	0
166.007	0	0	0	0
167.007	0	0	0	0
168.007	0	0	0	0
169.007	0	0	0	0
170.007	0	0	0	0
171.007	0	0	0	0
172.007	0	0	0	0
173.007	0	0	0	0
174.007	0	0	0	0
175.007	0	0	0	0
176.007	0	0	0	0
177.007	0	0	0	0
178.007	0	0	0	0
179.007	0	0	0	0
180.007	0	0	0	0
181.007	0	0	0	0
182.007	0	0	0	0
183.007	0	0	0	0
184.007	0	0	0	0
185.007	0	0	0	0
186.007	0	0	0	0
187.007	0	0	0	0
188.008	0	0	0	0
189.008	0	0	0	0
190.008	0	0	0	0
191.008	0	0	0	0
192.008	0	0	0	0
193.008	0	0	0	0
194.008	0	0	0	0
195.008	0	0	0	0
196.008	0	0	0	0
197.008	0	0	0	0
198.008	0	0	0	0
199.008	0	0	0	0
200.008	0	0	0	0
201.008	0	0	0	0
202.008	0	0	0	0
203.008	0	0	0	0
204.008	0	0	0	0
205.008	0	0	0	0
206.008	0	0	0	0
207.008	0	0	0	0
208.008	0	0	0	0
209.008	0	0	0	0
210.008	0	0	0	0
211.008	0	0	0	0
212.008	0	0	0	0
213.009	0	0	0	0
214.009	0	0	0	0
215.009	0	0	0	0
216.009	0	0	0	0
217.009	0	0	0	0
218.009	0	0	0	0
219.009	0	0	0	0
220.009	0	0	0	0
221.009	0	0	0	0
222.009	0	0	0	0
223.009	0	0	0	0
224.009	0	0	0	0
225.009	0	0	0	0
226.009	0	0	0	0
227.009	0	0	0	0
228.009	0	0	0	0
229.009	0	0	0	0
230.009	0	0	0	0
231.009	0	0	0	0
232.009	0	0	0	0
233.009	0	0	0	0
234.009	0	0	0	0
235.009	0	0	0	0
236.009	0	0	0	0
237.009	0	0	0	0
238.01	0	0	0	0
239.01	0	0	0	0
240.01	0	0	0	0
241.01	0	0	0	0
242.01	0	0	0	0
243.01	0	0	0	0
244.01	0	0	0	0
245.01	0	0	0	0
246.01	0	0	0	0
247.01	0	0	0	0
248.01	0	0	0	0
249.01	0	0	0	0
250.01	0	0	0	0
251.01	0	0	0	0
252.01	0	0	0	0
253.01	0	0	0	0
254.01	0	0	0	0
255.01	0	0	0	0
256.01	0	0	0	0
257.01	0	0	0	0
258.01	0	0	0	0
259.01	0	0	0	0
260.01	0	0	0	0
261.01	0	0	0	0
262.01	0	0	0	0
263.011	0	0	0	0
264.011	0	0	0	0
265.011	0	0	0	0
266.011	0	0	0	0
267.011	0	0	0	0
268.011	0	0	0	0
269.011	0	0	0	0
270.011	0	0	0	0
271.011	0	0	0	0
272.011	0	0	0	0
273.011	0	0	0	0
274.011	0	0	0	0
275.011	0	0	0	0
276.011	0	0	0	0
277.011	0	0	0	0
278.011	0	0	0	0
279.011	0	0	0	0
280.011	0	0	0	0
281.011	0	0	0	0
282.011	0	0	0	0
283.011	0	0	0	0
284.011	0	0	0	0
285.011	0	0	0	0
286.011	0	0	0	0
287.011	0	0	0	0
288.012	0	0	0	0
289.012	0	0	0	0
290.012	0	0	0	0
291.012	0	0	0	0
292.012	0	0	0	0
293.012	0	0	0	0
294.012	0	0	0	0
295.012	0	0	0	0
296.012	0	0	0	0
297.012	0	0	0	0
298.012	0	0	0	0
299.012	0	0	0	0
300.012	0	0	0	0
301.012	0	0	0	0
302.012	0	0	0	0
303.012	0	0	0	0
304.012	0	0	0	0
305.012	0	0	0	0
306.012	0	0	0	0
307.012	0	0	0	0
308.012	0	0	0	0
309.012	0	0	0	0
310.012	0	0	0	0
311.012	0	0	0	0
312.012	0	0	0	0
313.013	0	0	0	0
314.013	0	0	0	0
315.013	0	0	0	0
316.013	0	0	0	0
317.013	0	0	0	0
318.013	0	0	0	0
319.013	0	0	0	0
320.013	0	0	0	0
321.013	0	0	0	0
322.013	0	0	0	0
323.013	0	0	0	0
324.013	0	0	0	0
325.013	0	0	0	0
326.013	0	0	0	0
327.013	0	0	0	0
328.013	0	0	0	0
329.013	0	0	0	0
330.013	0	0	0	0
331.013	0	0	0	0
332.013	0	0	0	0
333.013	0	0	0	0
334.013	0	0	0	0
335.013	0	0	0	0
336.013	0	0	0	0
337.013	0	0	0	0
338.014	0	0	0	0
339.014	0	0	0	0
340.014	0	0	0	0
341.014	0	0	0	0
342.014	0	0	0	0
343.014	0	0	0	0
344.014	0	0	0	0
345.014	0	0	0	0
346.014	0	0	0	0
347.014	0	0	0	0
348.014	0	0	0	0
349.014	0	0	0	0
350.014	0	0	0	0
351.014	0	0	0	0
352.014	0	0	0	0
353.014	0	0	0	0
354.014	0	0	0	0
355.014	0	0	0	0
356.014	0	0	0	0
357.014	0	0	0	0
358.014	0	0	0	0
359.014	0	0	0	0
360.014	0	0	0	0
361.014	0	0	0	0
362.014	0	0	0	0
363.015	0	0	0	0
364.015	0	0	0	0
365.015	0	0	0	0
366.015	0	0	0	0
367.015	0	0	0	0
368.015	0	0	0	0
369.015	0	0	0	0
370.015	0	0	0	0
371.015	0	0	0	0
372.015	0	0	0	0
373.015	0	0	0	0
374.015	0	0	0	0
375.015	0	0	0	0
376.015	0	0	0	0
377.015	0	0	0	0
378.015	0	0	0	0
379.015	0	0	0	0
380.015	0	0	0	0
381.015	0	0	0	0
382.015	0	0	0	0
383.015	0	0	0	0
384.015	0	0	0	0
385.015	0	0	0	0
386.015	0	0	0	0
387.015	0	0	0	0
388.016	0	0	0	0
389.016	0	0	0	0
390.016	0	0	0	0
391.016	0	0	0	0
392.016	0	0	0	0
393.016	0	0	0	0
394.016	0	0	0	0
395.016	0	0	0	0
396.016	0	0	0	0
397.016	0	0	0	0
398.016	0	0	0	0
399.016	0	0	0	0
400.016	0	0	0	0
401.016	0	0	0	0
402.016	0	0	0	0
403.016	0	0	0	0
404.016	0	0	0	0
405.016	0	0	0	0
406.016	0	0	0	0
407.016	0	0	0	0
408.016	0	0	0	0
409.016	0	0	0	0
410.016	0	0	0	0
411.016	0	0	0	0
412.016	0	0	0	0
413.017	0	0	0	0
414.017	0	0	0	0
415.017	0	0	0	0
416.017	0	0	0	0
417.017	0	0	0	0
418.017	0	0	0	0
419.017	0	0	0	0
420.017	0	0	0	0
421.017	0	0	0	0
422.017	0	0	0	0
423.017	0	0	0	0
424.017	0	0	0	0
425.017	0	0	0	0
426.017	0	0	0	0
427.017	0	0	0	0
428.017	0	0	0	0
429.017	0	0	0	0
430.017	0	0	0	0
431.017	0	0	0	0
432.017	0	0	0	0
433.017	0	0	0	0
434.017	0	0	0	0
435.017	0	0	0	0
436.017	0	0	0	0
437.017	0	0	0	0
438.018	0	0	0	0
439.018	0	0	0	0
440.018	0	0	0	0
441.018	0	0	0	0
442.018	0	0	0	0
443.018	0	0	0	0
444.018	0	0	0	0
445.018	0	0	0	0
446.018	0	0	0	0
447.018	0	0	0	0
448.018	0	0	0	0
449.018	0	0	0	0
450.018	0	0	0	0
451.018	0	0	0	0
452.018	0	0	0	0
453.018	0	0	0	0
454.018	0	0	0	0
455.018	0	0	0	0
456.018	0	0	0	0
457.018	0	0	0	0
458.018	0	0	0	0
459.018	0	0	0	0
460.018	0	0	0	0
461.018	0	0	0	0
462.018	0	0	0	0
463.019	0	0	0	0
464.019	0	0	0	0
465.019	0	0	0	0
466.019	0	0	0	0
467.019	0	0	0	0
468.019	0	0	0	0
469.019	0	0	0	0
470.019	0	0	0	0
471.019	0	0	0	0
472.019	0	0	0	0
473.019	0	0	0	0
474.019	0	0	0	0
475.019	0	0	0	0
476.019	0	0	0	0
477.019	0	0	0	0
478.019	0	0	0	0
479.019	0	0	0	0
480.019	0	0	0	0
481.019	0	0	0	0
482.019	0	0	0	0
483.019	0	0	0	0
484.019	0	0	0	0
485.019	0	0	0	0
486.019	0	0	0	0
487.019	0	0	0	0
488.02	0	0	0	0
489.02	0	0	0	0
490.02	0	0	0	0
491.02	0	0	0	0
492.02	0	0	0	0
493.02	0	0	0	0
494.02	0	0	0	0
495.02	0	0	0	0
496.02	0	0	0	0
497.02	0	0	0	0
498.02	0	0	0	0
499.02	0	0	0	0
500.02	0	0	0	0
501.02	0	0	0	0
502.02	0	0	0	0
503.02	0	0	0	0
504.02	0	0	0	0
505.02	0	0	0	0
506.02	0	0	0	0
507.02	0	0	0	0
508.02	0	0	0	0
509.02	0	0	0	0
510.02	0	0	0	0
